df1,"0,88","0,50","0,78","1,00","0,75","0,72","0,61","0,54","0,63","0,60","0,71","0,39","0,70"
df2,"0,88","1,00","1,00","1,00","0,92","1,00","1,00","0,93","0,89","1,00","1,00","0,93","0,98"
df3,"0,00","0,20","0,22","0,00","0,25","0,33","0,48","0,14","0,26","0,30","0,41","0,32","0,48"
df4,"0,25","0,20","0,22","0,00","0,08","0,17","0,09","0,14","0,00","0,05","0,06","0,07","0,08"
df5,"0,38","0,20","0,44","0,50","0,38","0,78","0,57","0,53","0,68","0,45","0,29","0,57","0,48"
df6,"0,38","0,00","0,33","0,00","0,42","0,33","0,22","0,17","0,32","0,30","0,24","0,43","0,45"
df7,"0,75","0,80","0,78","0,50","0,71","0,56","0,48","0,59","0,42","0,80","0,71","0,54","0,70"
df8,"0,75","1,00","1,00","1,00","0,96","0,94","0,96","0,80","0,74","1,00","0,94","0,82","0,93"
df9,"0,88","0,80","0,78","0,50","0,79","0,78","0,78","0,69","0,53","0,85","0,94","0,82","0,90"
