df1,"0,94","0,77","0,89","1,00","0,85","0,71","0,67","0,63","0,57","0,67","0,60","0,58","0,50"
df2,"0,94","0,97","1,00","1,00","1,00","0,96","1,00","1,00","1,00","1,00","1,00","1,00","0,94"
df3,"0,50","0,41","0,56","1,00","0,30","0,46","0,56","0,25","0,43","0,50","1,00","0,54","0,61"
df4,"0,22","0,13","0,33","0,00","0,11","0,14","0,11","0,19","0,00","0,00","0,00","0,04","0,06"
df5,"0,28","0,41","0,67","1,00","0,56","0,54","0,78","0,53","0,43","0,58","0,80","0,67","0,56"
df6,"0,44","0,26","0,22","1,00","0,26","0,18","0,33","0,13","0,29","0,42","0,60","0,29","0,33"
df7,"0,67","0,62","0,78","1,00","0,70","0,61","0,67","0,66","0,29","0,58","1,00","0,38","0,50"
df8,"0,83","0,97","1,00","1,00","0,85","0,82","1,00","0,97","0,57","0,67","0,80","0,79","0,83"
df9,"0,50","0,74","0,67","0,00","0,67","0,61","0,44","0,72","0,57","0,33","0,80","0,67","0,61"
