df1,"0,88","0,71","0,63","0,00","0,57","0,40","0,37","0,49","0,40","0,67","0,63","0,30","0,39"
df2,"0,94","1,00","1,00","1,00","0,97","0,85","1,00","0,93","0,95","0,94","1,00","0,98","0,98"
df3,"0,35","0,29","0,38","0,50","0,30","0,30","0,52","0,36","0,35","0,44","0,31","0,40","0,43"
df4,"0,12","0,00","0,00","0,00","0,05","0,10","0,11","0,11","0,10","0,06","0,00","0,07","0,11"
df5,"0,47","0,63","0,63","0,50","0,70","0,60","0,70","0,62","0,55","0,61","0,63","0,65","0,57"
df6,"0,18","0,17","0,25","0,00","0,32","0,40","0,33","0,21","0,35","0,22","0,25","0,33","0,33"
df7,"0,82","0,46","0,63","1,00","0,54","0,70","0,70","0,59","0,55","0,56","0,81","0,58","0,70"
df8,"0,88","0,96","1,00","1,00","0,78","0,90","0,81","0,80","0,80","0,94","0,94","0,74","0,70"
df9,"0,53","0,63","0,75","1,00","0,51","0,40","0,52","0,57","0,55","0,50","0,63","0,60","0,61"
