df1,"0,91","0,71","0,77","0,60","0,70","0,62","0,51","0,54","0,52","0,64","0,66","0,40","0,53"
df2,"0,93","0,99","1,00","1,00","0,97","0,94","1,00","0,94","0,93","0,98","1,00","0,97","0,97"
df3,"0,35","0,34","0,38","0,40","0,28","0,38","0,51","0,25","0,33","0,40","0,45","0,41","0,48"
df4,"0,19","0,10","0,19","0,00","0,08","0,14","0,10","0,14","0,04","0,04","0,03","0,06","0,09"
df5,"0,37","0,45","0,58","0,60","0,57","0,62","0,66","0,56","0,59","0,54","0,50","0,63","0,53"
df6,"0,33","0,19","0,27","0,20","0,33","0,29","0,29","0,18","0,33","0,30","0,29","0,35","0,38"
df7,"0,74","0,59","0,73","0,80","0,64","0,62","0,61","0,60","0,46","0,66","0,79","0,52","0,66"
df8,"0,84","0,97","1,00","1,00","0,85","0,88","0,90","0,83","0,74","0,90","0,92","0,78","0,81"
df9,"0,58","0,71","0,73","0,60","0,64","0,59","0,61","0,65","0,54","0,60","0,79","0,68","0,72"
